groupe;designation;reference;distributeur;pu_eur;necessaire;note
Boîtier;Boîtier aluminium extrudé 110 × 70 × 30 mm, façades usinées;Hammond 1455J1201;Mouser;22,50;recommandé;Le métal sert de blindage : c'est un choix électrique, pas esthétique
Boîtier;Boîtier ABS 120 × 80 × 35 mm;Hammond 1591BSBK;Mouser;8,40;alternative;Moins cher, mais exige un blindage interne collé
Boîtier;Pieds adhésifs silicone (jeu de 4);—;quincaillerie;1,20;facultatif;Évite de faire glisser l'appareil pendant une séance
Boîtier;Entretoises PTFE 6 mm pour les entrées;—;RS;2,80;recommandé;Le PTFE ne conduit pas en surface, contrairement au nylon humide
Câblerie;Câble USB-C vers USB-C, 1 m, blindé, données;Anker 543 ou équivalent;généraliste;9,90;nécessaire;Vérifier « data » : beaucoup de câbles ne transportent que le courant
Câblerie;Câble USB-C vers USB-A, 1 m, blindé, données;—;généraliste;7,50;alternative;Pour les ordinateurs sans port USB-C
Câblerie;Adaptateur USB-C femelle vers USB-A mâle;—;généraliste;4,50;alternative;Solution la plus souple en atelier
Câblerie;Ferrite à clipser 5 mm pour le câble USB;Würth 74271132;Mouser;2,10;recommandé;Atténue le bruit conduit par l'ordinateur
Électrodes;Électrodes Ag/AgCl adhésives (lot de 50);Ambu WhiteSensor 4535M;médical;18,00;nécessaire;Les mêmes qu'en électrocardiographie
Électrodes;Gel conducteur sans chlorure, 250 ml;Signa Gel;médical;9,00;recommandé;Prolonge la stabilité du contact de plusieurs heures
Électrodes;Pinces crocodile isolées à mors cuivre (lot de 10);—;généraliste;6,50;alternative;Pour les feuilles épaisses ; à surveiller, elles blessent
Électrodes;Câble coaxial faible bruit RG-174 blindé, 2 m;Belden 8216;Mouser;4,20;nécessaire;Le blindage est relié à la garde, jamais à la masse
Électrodes;Électrode de terre laiton doré, tige 80 mm;—;horticole;5,80;nécessaire;Va dans le substrat, au pied de la plante
Alimentation;Batterie externe USB-C 10 000 mAh, sortie 5 V 2 A;Anker PowerCore;généraliste;24,90;recommandé;Sur batterie, plus aucune boucle de masse : c'est la meilleure alimentation
Alimentation;Chargeur secteur USB-C 20 W;—;généraliste;12,90;alternative;À éviter pendant les mesures fines
Alimentation;Accumulateur Li-Po 3,7 V 2000 mAh avec protection;—;généraliste;11,50;facultatif;Alimente la carte sans rien tirer du portable ni du secteur
Alimentation;Module de charge Li-Po USB-C;TP4056 USB-C;généraliste;2,40;facultatif;À associer à l'accumulateur ci-dessus
Mesure;Multimètre 6 000 points avec mesure de capacité;Brymen BM235;instrumentation;135,00;recommandé;Indispensable pour la recette de la carte
Mesure;Oscilloscope USB 2 voies 20 MHz;Hantek 6022BE;instrumentation;65,00;facultatif;Utile pour la mise au point de l'excitation
Mesure;Résistances étalons 1 MΩ / 10 MΩ / 100 MΩ 0,05 %;—;instrumentation;28,00;recommandé;Vérification indépendante de l'auto-test
Atelier;Fer à souder à température régulée, panne 0,4 mm;Pinecil V2;généraliste;38,00;nécessaire;Les boîtiers QFN exigent une panne fine
Atelier;Pâte à souder sans plomb SAC305, seringue;—;généraliste;16,00;nécessaire;Pour le montage en surface
Atelier;Plaque chauffante ou four à refusion;—;généraliste;45,00;recommandé;Le RP2350 en QFN-80 se soude mal au fer
Atelier;Flux de nettoyage et alcool isopropylique 99 %;—;généraliste;12,00;nécessaire;Un flux résiduel conduit : il ruine les entrées à 10¹⁵ Ω
Atelier;Loupe binoculaire ou microscope USB;—;généraliste;35,00;recommandé;Contrôle des ponts de soudure
