group;ref;qty;description;package;dimensions;manufacturer;part;distributor;distributor_part;unit_eur;note
Analog input;U1, U2;2;Electrometer amplifier, Ib < 20 fA, integrated guard;SOIC-8;4.9 × 3.9 × 1.75;Analog Devices;ADA4530-1ARZ;Mouser;584-ADA4530-1ARZ;14.20;The critical part: do not substitute
Analog input;R1, R11;2;Resistor 10 kΩ 0.1 % 25 ppm;0805;2.0 × 1.25 × 0.85;Vishay;TNPW080510K0BEEA;Mouser;71-TNPW080510K0BEEA;0.42;Series protection, low noise
Analog input;R2, R12;2;Resistor 1 GΩ 1 %, high stability;1206;3.2 × 1.6 × 0.95;Vishay;VR68000001004JAC00;Mouser;71-VR68-1G;2.80;Biasing
Analog input;D1, D2;2;Dual low-leakage diode, 1 pA;SOT-23;2.9 × 1.3 × 1.1;Nexperia;BAV199;Mouser;771-BAV199-T/R;0.18;Input clamping
Analog input;C1, C2;2;Capacitor 100 pF NP0 1 %;0805;2.0 × 1.25 × 0.85;Murata;GRM2165C1H101FA01;Mouser;81-GRM2165C1H101FA1;0.22;Band limiting
Analog input;J1, J2;2;3.5 mm stereo jack socket, through-hole;through-hole;per part;CUI;SJ1-3535NG;Mouser;490-SJ1-3535NG;1.05;Tip = electrode, ring = guard
Bridge and measurement;U3;1;Instrumentation amplifier, CMRR 140 dB;MSOP-8;3.0 × 3.0 × 1.1;Texas Instruments;INA828AIDGKR;Mouser;595-INA828AIDGKR;7.90;FE-B channel
Bridge and measurement;U4;1;Analog switch 2:1, 4.5 Ω;SOT-23-8;2.9 × 1.6 × 1.1;Analog Devices;ADG1419BRJZ;Mouser;584-ADG1419BRJZ-RL7;3.60;Synchronous demodulator
Bridge and measurement;U6, U8;2;Analog multiplexer 8:1, low charge injection;TSSOP-16;5.0 × 4.4 × 1.2;Texas Instruments;TMUX1208PWR;Mouser;595-TMUX1208PWR;1.85;Ranges and gains
Bridge and measurement;R10;1;Reference resistor 1 MΩ 0.1 % 15 ppm;1206;3.2 × 1.6 × 0.95;Vishay;MFR-12-1M0-0.1%;Mouser;71-MFR12-1M-0.1;1.40;The bridge's reference arm
Bridge and measurement;R20-R23;4;Range network 100 k / 1 M / 10 M / 100 MΩ 0.1 %;1206;3.2 × 1.6 × 0.95;Vishay;VHP series;Mouser;71-VHP-SET;9.60;A matched set, price for all four
Amplification;U7;1;Zero-drift amplifier, 0.1 µV/°C;SOIC-8;4.9 × 3.9 × 1.75;Texas Instruments;OPA2189IDR;Mouser;595-OPA2189IDR;4.70;Programmable gain and filter
Amplification;U9;1;Fully differential amplifier;WSON-10;3.0 × 3.0 × 0.8;Texas Instruments;THS4551IDGKR;Mouser;595-THS4551IDGK;4.10;Driving the converter
Amplification;R24, R25;2;Resistor 4.7 kΩ 0.1 %;0805;2.0 × 1.25 × 0.85;Vishay;TNPW08054K70BEEA;Mouser;71-TNPW08054K70BEE;0.42;Bessel filter
Amplification;C20;1;Capacitor 33 nF C0G 2 %;0805;2.0 × 1.25 × 0.85;Kemet;C0805C333G3GACTU;Mouser;80-C0805C333G3G;0.64;Bessel filter
Amplification;C21;1;Capacitor 68 nF C0G 2 %;1206;3.2 × 1.6 × 0.95;Kemet;C1206C683G3GACTU;Mouser;80-C1206C683G3G;1.10;Bessel filter
